Typhoon Name,Classification,Date Developed,Date Entered PAR,Date Landfall(s),Landfall Location(s),Date Exited / Dissipated,Peak Intensity
Auring,Tropical Storm,"February 16, 2021","February 16, 2021","February 21, 2021",Eastern Samar,"February 22, 2021","85 km/h, 994 hPa"
Bising,Super Typhoon,"April 12, 2021","April 15, 2021",None,None,"April 24, 2021","220 km/h, 895 hPa"
Crising,Tropical Storm,"May 12, 2021","May 12, 2021","May 13, 2021",Davao Oriental,"May 14, 2021","65 km/h, 1002 hPa"
Dante,Tropical Storm,"May 29, 2021","May 29, 2021","June 1-2, 2021","Eastern Samar, Samar, Masbate, Romblon, Btangas","June 5, 2021","75 km/h, 996 hPa"
Emong,Tropical Depression,"July 3, 2021","July 3, 2021","July 5, 2021",Batanes,"July 6, 2021","55 km/h, 1002 hPa"
Fabian,Typhoon ,"July 15, 2021","July 21, 2021",None,None,"July 23, 2021","150 km/h, 955 hPa"
Gorio,Severe Tropical Storm,"August 3, 2021","August 3, 2021",None,None,"August 4, 2021","45 km/h, 998 hPa"
Huaning,Tropical Storm,"August 2, 2021","August 6, 2021",None,None,"August 7, 2021","65 km/h, 992 hPa"
Isang,Severe Tropical Storm,"August 10, 2021","August 19, 2021",None,None,"August 22, 2021","100 km/h, 992 hPa"
Jolina,Typhoon,"September 5, 2021","September 5, 2021","September 6-8, 2021","Eastern Samar, Samar, Masbate, Marinduque, Batangas, Bataan, Zambales","September 9, 2021","120 km/h, 985 hPa"
Kiko,Super Typhoon,"September 5, 2021","October 7, 2021","September 11, 2021",Batanes,"September 12, 2021","215 km/h, 910 hPa"
Lannie,Tropical Storm,"October 1, 2021","October 1, 2021","October 3-4, 2021","Surigao del Norte, Southern Leyte, Bohol, Cebu, negros Oriental, Palawan","November 5, 2021","45 km/h, 1002 hPa"
Maring,Severe Tropical Storm,"October 7, 2021","October 7, 2021","October 21, 2021",Cagayan,"October 12, 2021","100 km/h, 975 hPa"
Nando,Tropical Depression,"October 7, 2021","October 8, 2021",None,None,"October 9, 2021","55 km/h, 996 hPa"
Odette,Super Typhoon,"December 12, 2021","December 14, 2021","December 16-17, 2021","Surigao del Norte, Southern Leyte, Bohol, Cebu, Negros Oriental, Palawan","December 18, 2021","195 km/h, 915 hPa"
Agaton,Tropical Storm,"April 8, 2022","April 8, 2022","April 10, 2022",Samar,"April 12, 2022","75 km/h, 996 hPa"
Basyang,Typhoon,"April 6, 2022","April 12, 2022",None,None,"April 12, 2022","120 km/h, 975 hPa"
Caloy,Typhoon,"June 28, 2022","June 28, 2022",None,None,"June 29, 2022","55 km/h, 998 hPa"
Domeng,Tropical Storm,"June 30, 2022","June 30, 2022",None,None,"July 2, 2022","85 km/h, 994 hPa"
Ester,Tropical Storm,"July 29, 2022","July 30, 2022",None,None,"July 30, 2022","55 km/h, 998 hPa"
Florita,Severe Tropical Storm,"August 20, 2022","August 23, 2022","August 23, 2022",Isabela,"August 23, 2022","110 km/h, 985 hPa"
Gardo,Tropical Depression,"August 30, 2022","August 30, 2022",None,None,"September 1, 2022","55 km/h, 998 hPa"
Henry,Super Typhoon,"August 27, 2022","August 31, 2022",None,None,"September 3, 2022","195 km/h, 920 hPa"
Inday,Typhoon,"September 5, 2022","September 7, 2022",None,None,"September 12, 2022","165 km/h, 950 hPa"
Josie,Super Typhoon,"September 12, 2022","September 16, 2022",None,None,"September 16, 2022","185 km/h, 925 hPa"
Karding,Super Typhoon,"September 21, 2022","September 21, 2022","September 25, 2022","Quezon, Aurora","September 26, 2022","195 km/h, 920 hPa"
Luis,Severe Tropical Storm,"September 27, 2022","September 27, 2022",None,None,"September 29, 2022","100 km/h, 990 hPa"
Maymay,Tropical Depression,"October 10, 2022","October 10, 2022",None,None,"October 12, 2022","45 km/h, 1002 hPa"
Neneng,Typhoon,"October 13, 2022","October 13, 2022","October 15, 2022",Cagayan,"October 16, 2022","120 km/h, 975 hPa"
Obet,Tropical Depression,"October 18, 2022","October 18, 2022",None,None,"October 22, 2022","55 km/h, 1004 hPa"
Paeng,Severe Tropical Storm,"October 26, 2022","October 26, 2022","October 28-29, 2022","Catanduanes, Camrines Sur, Quezon, Marinduque","October 31, 2022","100 km/h, 980 hPa"
Queenie,Tropical Storm,"October 28, 2022","October 30, 2022",None,None,"November 1, 2022","75 km/h, 1000 hPa"
Rosal,Tropical Storm,"December 10, 2022","December 10, 2022",None,None,"December 12, 2022","85 km/h, 994 hPa"
Amang,Tropical Depression,"April 10, 2023","April 10, 2023","April 12, 2023",Camarines Sur,"April 13, 2023","55 km/h, 1004 hPa"
Betty,Super Typhoon,"May 19, 2023","May 26, 2023",None,None,"June 1, 2023","195 km/h, 915 hPa"
Chedeng,Typhoon,"June 6, 2023","June 6, 2023",None,None,"June 11, 2023","150 km/h, 955 hPa"
Dodong,Typhoon,"July 13, 2023","July 13, 2023","July 13, 2023",Isabela,"July 15, 2023","65 km/h, 994 hPa"
Egay,Super Typhoon,"July 20, 2023","July 20, 2023","July 25-26, 2023",Cagayan,"July 27, 2023","185 km/h, 925 hPa"
Falcon,Typhoon,"July 26, 2023","July 28, 2023",None,None,"August 1, 2023","175 km/h, 930 hPa"
Goring,Super Typhoon,"August 22, 2023","August 22, 2023",None,None,"August 30, 2023","195 km/h, 920 hPa"
Hannah,Typhoon,"August 27, 2023","August 30, 2023",None,None,"September 3, 2023","155 km/h, 945 hPa"
Ineng,Tropical Depression,"September 4, 2023","September 4, 2023",None,None,"September 5, 2023","55 km/h, 1000 hPa"
Jenny,Typhoon,"September 28, 2023","September 29, 2023",None,None,"October 5, 2023","175 km/h, 940 hPa"
Kabayan,Tropical Storm,"December 15, 2023","December 16, 2023","December 18, 2023",Davao Oriental,"December 18, 2023","65 km/h, 1002 hPa"
Aghon,Typhoon,"May 23, 2025","May 23, 2025","May 24-26, 2024","Eastern Samar, Samar, Masbate, Marinduque, Quezon","May 29, 2024","140 km/h, 965 hPa"
Butchoy,Tropical Depression,"July 18, 2024","July 18, 2024",None,None,"July 19, 2024","55 km/h, 1000 hPa"
Carina,Super Typhoon,"July 19, 2024","July 19, 2024",None,None,"July 24, 2024","185 km/h, 920 hPa"
Dindo,Tropical Storm,"August 18, 2024","August 18, 2024",None,None,"August 18, 2024","65 km/h, 1000 hPa"
Enteng,Severe Tropical Depression,"September 1, 2024","September 1, 2024","September 2, 2024",Aurora,"September 3, 2024","110 km/h, 975 hPa"
Ferdie,Severe Tropical Storm,"September 9, 2024","September 13, 2024",None,None,"September 13, 2024","95 km/h, 990 hPa"
Gener,Super Typhoon,"September 15, 2024","September 17, 2024","September 16, 2024",Isabela,"September 17, 2024","55 km/h, 996 hPa"
Helen,Tropical Storm,"September 15, 2024","September 17, 2024",None,None,"September 18, 2024","85 km/h, 994 hPa"
Igme,Tropical Depression,"September 19, 2024","September 19, 2024",None,None,"September 20, 2024","55 km/h, 1002 hPa"
Julian,Super Typhoon,"September 26, 2024","September 26, 2024",None,None,"October 4, 2024","195 km/h, 920 hPa"
Kristine,Severe Tropical Storm,"October 20, 2024","October 20, 2024","October 23, 2024",Isabela,"October 25, 2024","100 km/h, 980 hPa"
Leon,Super Typhoon,"October 23, 2024","October 26, 2024",None,None,"October 31, 2024","185 km/h, 925 hPa"
Marce,Typhoon,"November 3, 2024","November 3, 2024","November 7, 2024",Cagayan,"November 8, 2024","175 km/h, 945 hPa"
Nika,Typhoon,"November 8, 2024","November 8, 2024","November 11, 2024",Aurora,"November 12, 2024","130 km/h, 975 hPa"
Ofel,Super Typhoon,"November 10, 2024","November 11, 2024","November 14, 2024",Cagayan,"November 16, 2024","185 km/h, 940 hPa"
Pepito,Super Typhoon,"November 7, 2024","November 14, 2024","November 16-17, 2024","Catanduanes, Aurora","November 18, 2024","195 km/h, 925 hPa"
Querubin,Tropical Depression,"December 16, 2024","December 16, 2024",None,None,"December 19, 2024","45 km/h, 1004 hPa"
Romina,None,None,None,None,None,None,None
Auring,Tropical Depression,"June 11, 2025","June 11, 2025",None,None,"June 12, 2025","45 km/h, 1004 hPa"
Bising,Tropical Storm,"July 2, 2025","July 2, 2025",None,None,"July 10, 2025","140 km/h, 960 hPa"
Crising,Severe Tropical Storm,"July 16, 2025","July 16, 2025",None,None,"July 19, 2025","100 km/h, 980 hPa"
Dante,Tropical Storm,"July 22, 2025","July 22, 2025",None,None,"July 24, 2025","75 km/h, 990 hPa"
Emong,Typhoon,"July 21, 2025","July 22, 2025","July 22-24, 2025","Cagayan, Pangasinan, Ilocos Sur","July 25, 2025","120 km/h, 975 hPa"
Fabian,Tropical Depression,"August 7, 2025","August 7, 2025",None,None,"August 8, 2025","45 km/h, 1006 hPa"
Gorio,Typhoon,"August 6, 2025","August 10, 2025",None,None,"August 13, 2025","155 km/h, 995 hPa"
Huaning,Tropical Depression,"August 17, 2025","August 17, 2025",None,None,"August 18, 2025","55 km/h, 1008 hPa"
Isang,Typhoon,"August 21, 2025","August 21, 2025","August 22, 2025",Aurora,"August 22, 2025","75 km/h, 998 hPa"
Jacinto,Tropical Depression,"August 28, 2025","August 28, 2025",None,None,"August 28, 2025","55 km/h, 1002 hPa"